Include,Exclude,Prefer
,Polteageist,Gallade
,Mega Scovillain,Hydreigon
,Barbaracle,
,Steelix,
,Blastoise,
,Lycanroc-Midnight,
,Rampardos,
,Mr. Rime,
,Kommo-o,
,Sandaconda,
,Bellibolt,
,Mega Camerupt,
,Crabominable,
,Pangoro,
,Whimsicott,
,Golurk,
,Scrafty,
,Mega Medicham,
,Manectric,
,Reuniclus,
,Flareon,
,Oranguru,
,Clawitzer,
,Simipour,
,Raichu-Alola,
,Espathra,
,Drampa,
,Palafin,
,Wyrdeer,
,Meowstic,
,Raichu,
,Luxray,
,Slowbro,
,Toucannon,
,Slowking,
,Clefable,
,Flapple,
,Malamar,
,Hatterene,
,Eelektross,
,Orthworm,
,Toxicroak,
,Heracross,
,Dragalge,
,Mega Mawile,
,Trevenant,
,Skarmory,
,Froslass,
,Bastiodon,
,Sharpedo,
,Cofagrigus,
,Scovillain,
,Runerigus,
,Appletun,
,Tauros,
,Dedenne,
,Morpeko,
,Slurpuff,
,Alcremie,
,Toxapex,
,Pinsir,
,Liepard,
,Qwilfish,
,Aromatisse,
,Vivillon,
,Meganium,
,Audino,
,Diggersby,
,Samurott,
,Arbok,
,Klefki,
,Emolga,
,Zoroark,
,Houndoom,
,Garbodor,
,Pidgeot,
,Mega Sableye,
,Araquanid,
,Chimecho,
,Absol,
,Abomasnow,
,Medicham,
,Glalie,
,Victreebel,
,Forretress,
,Rotom,
,Ariados,
,Banette,
,Watchog,
,Beedrill,
,Pikachu,
,Avalugg-Hisui,
,Rhyperior,
,Noivern,
,Florges,
,Tauros-Paldea-Aqua,
,Tauros-Paldea-Blaze,
,Meowscarada,
,Passimian,
,Skeledirge,
,Overqwil,
,Hydrapple,
,Primarina,
,Garganacl,
,Aurorus,
,Beartic,
,Conkeldurr,
,Rotom-Fan,
,Decidueye-Hisui,
,Serperior,
,Hawlucha,
,Heliolisk,
,Mudsdale,
,Houndstone,
,Musharna,
,Salazzle,
,Decidueye,
,Machamp,
,Zoroark-Hisui,
,Mega Heracross,
,Mega Barbaracle,
,Mega Pinsir,
,Mega Hawlucha,
,Mega Emboar,
,Mega Pidgeot,
,Mega Crabominable,
,Mega Golurk,
,Mega Beedrill,
,Mega Slowbro,
,Mega Falinks,
,Mega Scolipede,
,Mega Dragalge,
,Mega Eelektross,
,Mega Audino,
,Mega Malamar,
,Mega Glalie,
,Mega Sharpedo,
,Mega Lucario,
,Mega Greninja,
,Rotom-Mow,
,Rotom-Frost,
,Rotom-Heat,
,Glimmora,
,Mega Glimmora,
