,,0.5,10,8,1,1,1.5,2.5,0.5,3,2,1.5,0.5,2.5,2,3,2,3,10
Name,Score,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Mega Audino,486.22,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
Mega Skarmory,530.25,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
Skarmory,411.37,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
Mega Sableye,366.37,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
Mega Pidgeot,519.795,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Spiritomb,371.45,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
Pidgeot,367.15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Emolga,374.8,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
Sableye,315.87,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
Rotom-Wash,455.02,1,0.5,0.5,1,2,0.5,1,1,0,0.5,1,1,1,1,1,1,0.25,1
Gliscor,470.4,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
Jolteon,481.475,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pelipper,406.8,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Raichu,423,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Pikachu,316.15,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Mega Floette,567.25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Manectric,430.8,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Mega Manectric,520,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Gyarados,483.53,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Luxray,422.45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Farigiraf,439.84,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1
Arbok,382.61,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Ditto,254.15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Clefable,415.41,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Garbodor,368.1,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Watchog,322.15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Snorlax,495,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Mega Charizard Y,542.41,1,0.5,1,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Talonflame,449.6,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
